index,accuracy,precision,recall,f1,inference_time,model_size
VGG16,0.5282051282051282,0.5632623076789928,0.5282051282051282,0.5121881505988827,4.835641622543335,105.19572925567627
ResNet50,0.5051282051282051,0.5097406243837329,0.5051282051282051,0.481046708992879,1.9816893064058745,92.00828075408936
MobileNetV2,0.3564102564102564,0.37732606826828463,0.3564102564102564,0.32723372761086617,0.5264017215141883,9.99660587310791
EfficientNetB2,0.46923076923076923,0.4265084143004865,0.46923076923076923,0.42237940290114523,0.6045410266289344,16.858975410461426
